SampleID	id_manifest	location	week	T	PMI	FDD	location_week	pig	rep 	snow_depth
S196	P2E3-7	Exterior	week_7	-9.3	7	452.4	Exterior_week_7	Pig2	3	30
S197	P2E3-8	Exterior	week_8	-7.6	8	596.8	Exterior_week_8	Pig2	3	30
S198	P2E3-9	Exterior	week_9	-9	9	661.1	Exterior_week_9	Pig2	3	80
S208	P2I1-1	Interior	week_1	7.9	1	22.9	Interior_week_1	Pig2	1	2
S199	P2I1-10	Interior	week_10	-11	10	895.3	Interior_week_10	Pig2	1	80
S200	P2I1-12	Interior	week_12	-4.3	12	991.2	Interior_week_12	Pig2	1	90
S201	P2I1-13	Interior	week_13	-5.3	13	1099.9	Interior_week_13	Pig2	1	100
S202	P2I1-14	Interior	week_14	-3.2	14	1208.7	Interior_week_14	Pig2	1	100
S203	P2I1-15	Interior	week_15	-5.6	15	1316.2	Interior_week_15	Pig2	1	130
S204	P2I1-16	Interior	week_16	-4.5	16	1377.7	Interior_week_16	Pig2	1	130
S205	P2I1-17	Interior	week_17	-5	17	1441	Interior_week_17	Pig2	1	130
S206	P2I1-18	Interior	week_18	-3	18	1421.2	Interior_week_18	Pig2	1	70
S207	P2I1-19	Interior	week_19	0	19	1437.5	Interior_week_19	Pig2	1	20
S213	P2I1-2	Interior	week_2	6.5	2	51.5	Interior_week_2	Pig2	1	2
S209	P2I1-20	Interior	week_20	3.1	20	1430.6	Interior_week_20	Pig2	1	0
S210	P2I1-21	Interior	week_21	-1.5	21	1420.1	Interior_week_21	Pig2	1	15
S211	P2I1-22	Interior	week_22	1.8	22	1441.4	Interior_week_22	Pig2	1	10
S212	P2I1-23	Interior	week_23	7.8	23	1436.3	Interior_week_23	Pig2	1	0
S214	P2I1-3	Interior	week_3	5.3	3	80.4	Interior_week_3	Pig2	1	1
S215	P2I1-4	Interior	week_4	4.6	4	129.7	Interior_week_4	Pig2	1	3
S216	P2I1-5	Interior	week_5	-6.3	5	228.9	Interior_week_5	Pig2	1	40
S217	P2I1-6	Interior	week_6	-6.9	6	282.7	Interior_week_6	Pig2	1	30
S218	P2I1-7	Interior	week_7	-9.3	7	452.4	Interior_week_7	Pig2	1	30
S219	P2I1-8	Interior	week_8	-7.6	8	596.8	Interior_week_8	Pig2	1	30
S220	P2I1-9	Interior	week_9	-9	9	661.1	Interior_week_9	Pig2	1	80
S230	P2I2-1	Interior	week_1	7.9	1	22.9	Interior_week_1	Pig2	2	2
S221	P2I2-10	Interior	week_10	-11	10	794.3	Interior_week_10	Pig2	2	80
S222	P2I2-12	Interior	week_12	-4.3	12	991.2	Interior_week_12	Pig2	2	90
S223	P2I2-13	Interior	week_13	-5.3	13	1099.9	Interior_week_13	Pig2	2	100
S224	P2I2-14	Interior	week_14	-3.2	14	1208.7	Interior_week_14	Pig2	2	100
S225	P2I2-15	Interior	week_15	-5.6	15	1316.2	Interior_week_15	Pig2	2	130
S226	P2I2-16	Interior	week_16	-4.5	16	1377.7	Interior_week_16	Pig2	2	130
S227	P2I2-17	Interior	week_17	-5	17	1441	Interior_week_17	Pig2	2	130
S228	P2I2-18	Interior	week_18	-3	18	1421.2	Interior_week_18	Pig2	2	70
S229	P2I2-19	Interior	week_19	0	19	1437.5	Interior_week_19	Pig2	2	20
S235	P2I2-2	Interior	week_2	6.5	2	51.5	Interior_week_2	Pig2	2	2
S231	P2I2-20	Interior	week_20	3.1	20	1430.6	Interior_week_20	Pig2	2	0
